ID	Term	Type	Preferred_form
ECK120002451	alaT	GENE	alaT
ECK120002452	alaU	GENE	alaU
ECK120002453	alaV	GENE	alaV
ECK120002454	alaW	GENE	alaW
ECK120002455	alaX	GENE	alaX
ECK120000032	aldA	GENE	aldA
ECK120002173	aldB	GENE	aldB
ECK120001200	alkA	GENE	alkA
ECK120000034	alkB	GENE	alkB
ECK120002883	allA	GENE	allA
ECK120002889	allB	GENE	allB
ECK120002893	allC	GENE	allC
ECK120002894	allD	GENE	allD
ECK120002892	allE	GENE	allE
ECK120002884	allR	GENE	allR
ECK120002882	allS	GENE	allS
ECK120002016	alpA	GENE	alpA
ECK120000001	alr	GENE	alr
ECK120001886	alsA	GENE	alsA
ECK120002305	alsB	GENE	alsB
ECK120001885	alsC	GENE	alsC
ECK120001884	alsE	GENE	alsE
ECK120001883	alsK	GENE	alsK
ECK120004160	alx	GENE	alx
ECK120001755	amiA	GENE	amiA
ECK120001332	amiB	GENE	amiB
ECK120004021	amiC	GENE	amiC
ECK120003052	amiD	GENE	amiD
ECK120000035	amn	GENE	amn
ECK120000036	ampC	GENE	ampC
ECK120000037	ampD	GENE	ampD
ECK120000038	ampE	GENE	ampE
ECK120002076	ampG	GENE	ampG
ECK120002410	ampH	GENE	ampH
ECK120001753	amtB	GENE	amtB
ECK120001354	amyA	GENE	amyA
ECK120003469	anmK	GENE	anmK
ECK120000041	ansA	GENE	ansA
ECK120000042	ansB	GENE	ansB
ECK120003353	ansP	GENE	ansP
ECK120000043	apaG	GENE	apaG
ECK120000044	apaH	GENE	apaH
ECK120001980	apbE	GENE	apbE
ECK120001862	aphA	GENE	aphA
ECK120000045	appA	GENE	appA
ECK120001347	appB	GENE	appB
ECK120001348	appC	GENE	appC
ECK120000046	appY	GENE	appY
ECK120000047	apt	GENE	apt
ECK120002435	aqpZ	GENE	aqpZ
ECK120000048	araA	GENE	araA
ECK120000049	araB	GENE	araB
ECK120000050	araC	GENE	araC
ECK120000051	araD	GENE	araD
ECK120000052	araE	GENE	araE
ECK120000053	araF	GENE	araF
ECK120000054	araG	GENE	araG
ECK120000055	araH	GENE	araH
ECK120000056	araJ	GENE	araJ
ECK120000057	arcA	GENE	arcA
ECK120000058	arcB	GENE	arcB
ECK120002583	arcZ	GENE	arcZ
ECK120016317	arfA	GENE	arfA
ECK120002223	arfB	GENE	arfB
ECK120000059	argA	GENE	argA
ECK120000060	argB	GENE	argB
ECK120000061	argC	GENE	argC
ECK120000062	argD	GENE	argD
ECK120001259	argE	GENE	argE
ECK120000063	argF	GENE	argF
ECK120000064	argG	GENE	argG
ECK120001201	argH	GENE	argH
ECK120000065	argI	GENE	argI
ECK120001409	argK	GENE	argK
ECK120001142	argO	GENE	argO
ECK120000483	argP	GENE	argP
ECK120002456	argQ	GENE	argQ
ECK120000066	argR	GENE	argR
ECK120000067	argS	GENE	argS
ECK120000068	argT	GENE	argT
ECK120002457	argU	GENE	argU
ECK120002458	argV	GENE	argV
ECK120002459	argW	GENE	argW
ECK120002460	argX	GENE	argX
ECK120002461	argY	GENE	argY
ECK120002462	argZ	GENE	argZ
ECK120003201	ariR	GENE	ariR
ECK120003744	arnA	GENE	arnA
ECK120003742	arnB	GENE	arnB
ECK120003743	arnC	GENE	arnC
ECK120003745	arnD	GENE	arnD
ECK120016312	arnE	GENE	arnE
ECK120003747	arnF	GENE	arnF
ECK120003746	arnT	GENE	arnT
ECK120000069	aroA	GENE	aroA
ECK120000070	aroB	GENE	aroB
ECK120000071	aroC	GENE	aroC
ECK120000072	aroD	GENE	aroD
ECK120000073	aroE	GENE	aroE
ECK120000074	aroF	GENE	aroF
ECK120000075	aroG	GENE	aroG
ECK120000076	aroH	GENE	aroH
ECK120000077	aroK	GENE	aroK
ECK120000078	aroL	GENE	aroL
ECK120000079	aroM	GENE	aroM
ECK120000080	aroP	GENE	aroP
ECK120001188	arpA	GENE	arpA
ECK120003514	arpB_1	GENE	arpB_1
ECK120003515	arpB_2	GENE	arpB_2
ECK125135001	arrS	GENE	arrS
ECK120002120	arsB	GENE	arsB
ECK120002121	arsC	GENE	arsC
ECK120002119	arsR	GENE	arsR
ECK120001573	artI	GENE	artI
ECK120001576	artJ	GENE	artJ
ECK120001575	artM	GENE	artM
ECK120001572	artP	GENE	artP
ECK120001574	artQ	GENE	artQ
ECK120000081	ascB	GENE	ascB
ECK120000082	ascF	GENE	ascF
ECK120000083	ascG	GENE	ascG
ECK120000084	asd	GENE	asd
ECK120000085	aslA	GENE	aslA
ECK120000086	aslB	GENE	aslB
ECK120001330	asmA	GENE	asmA
ECK120000087	asnA	GENE	asnA
ECK120000088	asnB	GENE	asnB
ECK120000089	asnC	GENE	asnC
ECK120000090	asnS	GENE	asnS
ECK120002463	asnT	GENE	asnT
ECK120002464	asnU	GENE	asnU
ECK120002465	asnV	GENE	asnV
